iter	Passed	Remaining
411	3213	74777
412	3222	74800
413	3230	74795
414	3239	74826
415	3247	74807
416	3253	74768
417	3264	74822
418	3270	74782
419	3275	74710
420	3286	74767
421	3293	74748
422	3297	74651
423	3300	74552
424	3304	74455
425	3309	74373
426	3315	74334
427	3326	74389
428	3333	74362
429	3340	74349
430	3344	74261
431	3351	74228
432	3356	74163
433	3365	74187
434	3376	74236
435	3385	74256
436	3395	74294
437	3401	74257
438	3408	74235
439	3412	74139
440	3422	74181
441	3423	74031
442	3433	74068
443	3443	74120
444	3450	74087
445	3460	74134
446	3461	73979
447	3471	74024
448	3475	73935
449	3482	73896
450	3492	73937
451	3495	73843
452	3505	73880
453	3509	73790
454	3518	73812
455	3523	73738
456	3532	73761
457	3540	73752
458	3549	73776
459	3559	73824
460	3565	73787
461	3576	73836
462	3582	73802
463	3590	73798
464	3594	73712
465	3598	73624
466	3605	73606
467	3612	73574
468	3621	73591
469	3628	73583
470	3636	73576
471	3646	73606
472	3653	73595
473	3657	73506
474	3667	73546
475	3678	73603
476	3682	73516
477	3686	73442
478	3693	73408
479	3700	73386
480	3704	73303
481	3713	73322
482	3720	73308
483	3726	73276
484	3737	73315
485	3743	73280
486	3746	73192
487	3757	73237
488	3761	73151
489	3765	73073
490	3774	73107
491	3781	73081
492	3790	73104
493	3800	73135
494	3809	73157
495	3820	73206
496	3827	73190
497	3835	73180
498	3844	73200
499	3851	73187
500	3861	73210
501	3868	73201
502	3878	73219
503	3885	73208
504	3894	73224
505	3901	73212
506	3908	73180
507	3918	73217
508	3927	73231
509	3937	73263
510	3946	73287
511	3950	73210
512	3960	73238
513	3971	73297
514	3981	73334
515	3988	73301
516	3997	73331
517	4007	73352
518	4014	73341
519	4021	73309
520	4031	73345
521	4035	73265
522	4041	73230
523	4048	73216
524	4055	73184
525	4065	73225
526	4072	73201
527	4079	73192
528	4089	73214
529	4096	73203
530	4103	73174
531	4110	73156
532	4117	73128
533	4127	73158
534	4130	73081
535	4137	73050
536	4140	72971
537	4148	72955
538	4154	72924
539	4162	72916
540	4169	72892
541	4176	72875
542	4183	72853
543	4189	72822
544	4194	72761
545	4200	72729
546	4206	72696
547	4214	72687
548	4220	72658
549	4228	72650
550	4234	72623
551	4244	72651
552	4251	72621
553	4261	72657
554	4267	72628
555	4271	72552
556	4279	72551
557	4284	72492
558	4288	72422
559	4298	72464
560	4309	72504
561	4318	72519
562	4325	72505
563	4334	72520
564	4344	72549
565	4353	72562
566	4358	72505
567	4364	72477
568	4371	72450
569	4382	72508
570	4386	72434
571	4396	72464
572	4403	72440
573	4413	72468
574	4419	72438
575	4429	72469
576	4433	72404
577	4437	72332
578	4446	72354
579	4450	72281
580	4457	72266
581	4464	72237
